id,RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE
58,23921,4914,117961,118300,120026,118834,127160,118424,118836
59,74001,50308,118090,118091,117884,117885,117913,117887,117888
60,16443,52194,117961,118052,126137,118924,148208,118667,118926
61,39333,7411,117961,118386,118746,118747,152307,118453,118749
62,4675,20818,119062,119063,124211,118321,117906,290919,118322
63,28566,28021,118212,118580,117895,117879,117897,19721,117880
64,33151,21009,117961,118343,149210,120097,174445,270488,120099
65,4675,33112,118212,118213,120551,118321,240983,290919,118322
66,27082,4663,117961,118225,120323,132096,132097,119095,132098
67,16018,33266,216705,119256,129526,119849,160290,118638,119851
68,77295,1978,117961,118327,120559,122269,141096,118643,122271
69,34924,6999,117961,118343,121747,118321,117906,290919,118322
70,20299,58476,117929,117930,117920,117879,310732,19721,117880
71,27295,4933,117961,118300,118458,307024,301218,118331,118332
72,45519,13845,117961,117962,118791,118792,211906,118424,118794
73,42481,101834,119134,119135,118042,118207,200069,270488,118209
74,74995,2541,117961,118343,118856,117905,117906,290919,117908
75,14937,5739,117961,118446,118684,118924,140784,118667,118926
76,40338,1411,117902,117903,118437,123670,305057,121916,123672
77,79121,16972,117961,118300,119987,118523,310608,118331,118525
78,22471,15412,117961,118343,127705,119849,127706,118638,119851
79,78422,15894,117961,118052,120304,120313,206347,118424,120315
80,75078,5496,91261,118026,118202,118321,117906,290919,118322
81,3130,122272,117961,118225,122273,122274,244154,3130,122275
82,40997,4199,117961,118225,118403,118321,117906,290919,118322
83,1020,3685,120140,120141,119968,124886,306399,118643,124888
84,32270,15785,117961,118343,118395,118890,125128,118398,118892
85,74909,8150,117961,118386,119954,118318,168365,118205,118319
86,43876,50213,118079,118080,117878,117879,117913,19721,117880
87,33146,13767,117961,117969,118970,118396,160046,118398,118399
88,42015,771,117961,118300,120722,118784,213944,290919,118786
89,42093,4139,117961,118300,123055,120344,188011,118424,120346
90,5342,16643,119134,119135,118701,119587,284481,118704,119589
91,74310,6957,117961,118300,125821,119849,310589,118638,119851
92,278393,15389,117961,118225,122870,119928,129017,118331,119929
93,79704,1030,117961,118343,120722,124435,127527,118363,124436
94,28149,8715,117961,118052,119986,118321,117906,290919,118322
95,79092,3000,117961,118225,120551,118321,240983,290919,118322
96,19399,58493,117918,117919,117941,118568,131694,19721,118570
97,34924,240,117961,118386,118404,118321,117906,290919,118322
98,75078,22873,117951,117952,118221,117885,117886,117887,117888
99,16175,16850,117961,118225,119238,122849,149223,119095,122850
100,28149,28275,118315,118463,123089,118321,125206,290919,118322
101,19945,795,117961,118225,120551,118784,117906,290919,118786
102,20897,15956,117961,117969,121617,131849,148158,121620,131851
103,18229,174,117961,118413,121639,118321,117906,290919,118322
104,15716,51766,117902,118041,118556,280788,280788,292795,119082
105,5372,17244,117961,118052,120398,118784,127126,290919,118786
106,79092,13867,117961,118446,120317,120690,120690,290919,120692
107,40466,14815,117961,118327,118320,123045,123107,120518,123047
108,15868,1568,117961,118300,120410,118321,117906,290919,118322
109,25328,1553,117961,118225,123173,118054,120716,117887,118055
110,16191,59029,117887,118178,118320,118321,117906,290919,118322
111,39262,71192,117961,118386,118522,118321,117906,290919,118322
112,23990,1652,117961,118327,118507,179731,169009,117887,117973
113,40997,4549,117961,118225,120050,118321,117906,290919,118322
114,74966,2014,117961,117962,117904,118777,237279,308574,118779
115,25788,54303,117961,118327,118492,118451,125738,118453,118454
116,954,815,117961,118300,123719,117905,117906,290919,117908
117,14924,15779,117961,118300,118535,117905,117906,290919,117908
118,27714,1080,117961,118052,118378,118451,151171,118453,118454
119,3853,7014,117961,118446,119961,118259,125206,290919,118261
120,74754,17451,117961,118052,126137,118054,118054,117887,118055
121,5173,49646,119691,119692,118635,120903,118406,119695,120904
122,75901,2582,117961,118343,121710,307024,133833,118331,118332
123,23096,15795,119062,119091,118042,118043,118044,270488,118046
124,27122,51226,117961,118327,118320,124886,164752,118643,124888
125,39883,15887,117961,118052,120356,120357,310997,118424,120359
126,27623,7011,117961,118327,120685,118321,118448,290919,118322
127,18072,43588,117961,119256,119257,118995,122492,292795,118997
128,3264,69337,120140,120141,118492,118274,220988,292795,118276
129,33642,50538,118953,118954,117920,118568,131694,19721,118570
130,23961,30520,117902,117903,117945,128422,130134,118453,128424
131,25270,4057,117961,118343,119598,119433,133686,118424,119435
132,41334,28245,118315,118463,123089,117905,130219,290919,117908
133,1937,8686,117961,118327,119830,118321,117906,290919,118322
134,45828,2078,118114,118115,117920,118568,125937,19721,118570
135,40426,2610,117961,118327,121979,118841,128747,118643,118843
136,15933,5767,117961,118343,118344,118321,117906,290919,118322
137,20487,2991,117961,118343,118700,117905,117906,290919,117908
138,73214,4961,117961,118343,118833,307024,294485,118331,118332
139,43312,58705,117910,118855,117941,118568,281735,19721,118570
140,29621,3077,117961,118300,120312,124194,124195,118363,124196
141,4675,7551,117961,118052,118867,118321,117906,290919,118322
142,38469,105262,118953,118954,118246,179731,291378,117887,117973
143,79325,7445,117961,118343,122299,179731,118054,117887,117973
144,20364,15764,91261,118026,119362,119065,158390,118667,119067
145,27323,7076,117961,118225,119238,119093,139668,119095,119096
146,302049,2590,118169,118170,118556,117946,125711,292795,117948
147,18072,18080,117961,119256,119257,117946,118806,292795,117948
148,39327,15504,117961,118386,123656,118321,240983,290919,118322
149,33248,3085,117961,118300,125821,118834,251171,118424,118836
150,25991,1614,117961,118327,118507,129909,185973,118453,129911
151,42654,30527,117961,118225,120551,119928,127692,118331,119929
152,23921,3933,117961,118343,119796,119849,157686,118638,119851
153,45517,49802,117961,118343,118514,307024,294485,118331,118332
154,33054,5659,117961,118300,124725,118321,117906,290919,118322
155,28149,70692,118315,118316,118202,118321,117906,290919,118322
156,43188,5244,117961,118343,119598,118321,117906,290919,118322
157,28149,83351,117961,118386,119954,118318,168365,118205,118319
158,30952,70134,117961,117962,126930,134095,303450,118474,118475
159,34950,25262,117961,118327,118320,118523,310608,118331,118525
160,37124,52314,117961,118300,118301,119928,219829,118331,119929
161,32642,46472,117961,119256,119257,118995,118806,292795,118997
162,45580,1810,117961,118327,120559,118641,306399,118643,118644
163,17308,55132,118169,118170,118042,118054,119008,117887,118055
164,80814,17713,117961,118225,120663,118321,117906,290919,118322
165,38704,60181,117916,118011,117884,117885,117913,117887,117888
166,80746,8697,117961,118446,119064,118361,127527,118363,118364
167,6977,7647,117961,118300,119181,118321,117906,290919,118322
168,40456,7560,117961,118300,119181,118321,117906,290919,118322
169,38,100,120140,120141,142145,117905,156948,290919,117908
170,26437,85728,118212,118580,117895,117896,117913,117887,117898
171,31441,30527,117961,118225,120551,119928,127692,118331,119929
172,32270,3651,119062,119091,123125,124152,300136,118424,124154
173,42378,18449,117961,118300,119181,118465,159686,118467,118468
174,39333,7411,117961,118386,118746,118054,168337,117887,118055
175,34982,25293,117961,118386,123072,128764,130802,118612,128765
176,42085,25629,117961,118343,120291,120006,129545,118424,120008
177,33642,58520,118003,118004,117878,117879,117879,19721,117880
178,25993,7076,117961,118225,120041,120591,120592,119095,120593
179,4675,1325,117961,117962,118910,118321,117906,290919,118322
180,18072,57718,117961,119256,119257,117946,118806,292795,117948
181,27416,22363,118084,118085,117912,117879,117886,19721,117880
182,80452,30520,117902,117903,117945,128422,130134,118453,128424
183,78625,82626,118090,118091,117912,117885,117913,117887,117888
184,79092,8435,117961,118225,124449,307024,311622,118331,118332
185,42085,7029,117961,117962,120677,120357,149187,118424,120359
186,34432,54618,117961,118052,118821,117905,240983,290919,117908
187,34582,1409,117961,118300,118437,118685,139689,308574,118687
188,38470,53240,117876,117877,117878,117879,117879,19721,117880
189,44641,6235,117961,118343,118437,307024,311622,118331,118332
190,37138,4936,117961,118343,120126,124576,124577,118424,124578
191,16503,16566,117961,118327,120559,120618,304465,118643,120619
192,45300,48101,117918,117919,117941,118568,131694,19721,118570
193,37138,5030,117961,118343,120126,119433,133686,118424,119435
194,75834,4261,118212,118213,126955,118321,173628,290919,118322
195,42085,6732,117961,117969,6725,120527,275449,6725,120529
196,16443,7076,117961,118225,120323,119093,120324,119095,119096
197,34924,34927,117961,118327,120299,137969,217580,118612,137970
198,15365,3868,117961,118052,120096,117905,117906,290919,117908
199,42388,7029,117961,117962,120677,120357,149187,118424,120359
200,81076,54618,117961,118052,118821,118321,117906,290919,118322
201,32621,1437,118212,118213,118437,120812,192211,118638,120814
202,43242,2827,118887,118888,119136,119587,254340,118704,119589
203,37981,21083,118106,118107,117941,117879,121445,19721,117880
204,74196,7647,117961,118300,119181,118321,117906,290919,118322
205,74302,2069,121518,121519,117895,128093,144793,119184,128095
206,16459,3230,117961,118386,121961,118523,310608,118331,118525
207,16923,4718,117961,118446,120317,117905,117906,290919,117908
208,41276,50976,117961,118413,119968,118321,117906,290919,118322
209,25812,118151,118079,118080,117878,118370,118371,118372,118373
210,3853,4998,117961,118343,119598,307024,311622,118331,118332
211,79092,3656,117961,118300,118631,118924,153285,118667,118926
212,967,15459,118169,118170,135245,259173,143905,292795,118943
213,42093,5186,118887,118888,124656,118912,309291,118424,118914
214,16988,15608,117961,118343,118395,118396,269406,118398,118399
215,5334,771,117961,118300,120722,118321,117906,290919,118322
216,74190,1443,117961,118343,120722,118321,117906,290919,118322
217,7543,7398,117961,118225,119924,118321,240983,290919,118322
218,20351,1938,117961,118300,118066,179731,304465,117887,117973
219,33147,2014,117961,117962,118910,120773,127525,118960,120774
220,42031,71192,117961,118386,118522,117905,117906,290919,117908
221,45232,3048,119062,119091,119734,153957,155022,118667,153959
222,79092,8784,117961,118300,119890,118422,147040,118424,118425
223,41594,41595,121785,121786,120299,120300,292871,120302,120303
224,42367,46610,117902,118041,118556,280788,280788,292795,119082
225,15064,17261,117961,118343,118833,118054,120238,117887,118055
226,80507,17514,117961,118343,121747,118321,117906,290919,118322
227,25993,20648,118219,118220,117941,117879,117897,19721,117880
228,78602,5432,117961,118327,118391,117905,117906,290919,117908
229,17226,4993,117961,118300,118979,118912,309291,118424,118914
230,6977,8607,117961,118225,118403,117905,240983,290919,117908
231,36971,7454,117961,118413,122007,118321,117906,290919,118322
232,90381,74746,117961,118327,118933,118784,121873,290919,118786
233,39331,83351,117961,118386,119954,118318,311618,118205,118319
234,33147,15389,117961,118225,122870,124886,128018,118643,124888
235,28344,7434,117961,118343,118514,118321,117906,290919,118322
236,20292,311085,117926,117927,117884,117879,117886,19721,117880
237,45652,7553,117961,118225,118403,118321,117906,290919,118322
238,22598,8094,117961,118343,139876,117905,117906,290919,117908
239,34950,7660,117961,118386,120361,118321,117906,290919,118322
240,80943,15967,117961,118300,124942,117905,117906,290919,117908
241,38719,58489,117916,117917,117884,117885,117913,117887,117888
242,43876,46754,118079,118080,117878,117879,118177,19721,117880
243,34025,4100,118290,118291,120291,119928,278266,118331,119929
244,75305,16973,117961,118300,124942,118321,117906,290919,118322
245,15716,73407,117902,118041,117945,280788,280788,292795,119082
246,4675,7072,117961,117962,118352,117905,117906,290919,117908
247,45015,8592,119062,119091,118514,117905,117906,290919,117908
248,23842,5330,117961,118052,122938,120097,174445,270488,120099
249,1151,124899,117961,118327,120171,118054,118054,117887,118055
250,74261,189,117961,118413,121639,117905,240983,290919,117908
251,3853,23224,117961,118225,120535,118890,311441,118398,118892
252,41758,41795,118315,118316,118317,119351,256809,3130,119353
253,972,4901,119596,119597,119598,118293,118294,118295,118296
254,79092,59785,91261,118026,120671,121143,184917,249618,121145
255,23921,119074,118163,119075,119076,118834,311236,118424,118836
256,391,50185,118216,118587,117884,117885,117913,117887,117888
257,16503,8106,117961,118327,120559,118318,181945,118205,118319
258,33642,98683,117975,117976,117941,118568,281735,19721,118570
259,80308,15894,117961,118052,119986,118685,126297,308574,118687
260,42006,2908,117961,118343,118979,119433,133686,118424,119435
261,44722,16850,117961,118225,119238,119093,180121,119095,119096
262,75324,1911,117943,117944,118042,118043,118176,270488,118046
263,40955,100547,118212,118213,119136,123670,232072,121916,123672
264,34628,1065,117961,118327,120559,118641,132791,118643,118644
265,74190,85728,118212,118580,117895,117896,117897,117887,117898
266,74236,51138,117961,118413,119968,118321,117906,290919,118322
267,34591,2594,117961,118300,123472,117905,117906,290919,117908
268,1937,1482,117961,117962,118450,118841,128747,118643,118843
269,23966,124899,117961,118327,120171,118054,118054,117887,118055
270,34429,5507,117961,118413,120370,117905,117906,290919,117908
271,6977,4519,117961,118300,118783,117905,117906,290919,117908
272,70087,35693,117916,118011,117920,121067,229187,121069,121070
273,31441,30523,117961,118343,119984,123067,269406,118398,123068
274,25993,14862,117961,118225,118403,118980,301534,118295,118982
275,16988,5016,117961,118343,121710,120789,250337,118424,120791
276,20897,3608,117961,118052,120671,120418,232183,249618,120419
277,20364,125466,117902,117903,120171,118863,142453,118398,118865
278,79121,5192,119596,119597,118825,118293,118294,118295,118296
279,20277,20939,117980,117981,118246,179731,188582,117887,117973
280,34591,2594,117961,118300,123472,118321,117906,290919,118322
281,17249,4887,117961,118343,119598,118422,300136,118424,118425
282,17296,23224,117961,118225,120535,123067,269406,118398,123068
283,79299,51755,119280,119281,118754,118805,118806,118474,118807
284,16219,4004,117961,118343,118856,118321,117906,290919,118322
285,6215,6217,117961,118327,118328,120765,120765,118467,120767
286,44812,70264,117961,118343,120722,118777,279443,308574,118779
287,4675,3756,117961,117969,118970,118890,125128,118398,118892
288,39883,15895,117961,118052,120677,122067,300136,118424,122069
289,39450,3936,117943,117944,117945,280788,126042,292795,119082
290,26437,85728,118212,118580,117895,117896,117897,117887,117898
291,13878,14561,118095,118096,117941,117879,117897,19721,117880
292,32270,3656,117961,118300,118631,118924,153285,118667,118926
293,917,3654,117961,118300,118631,118826,168415,118424,118828
294,60040,4933,117961,118300,118458,126869,283548,118295,126870
295,77183,2409,117961,117962,117904,127782,123170,290919,127783
296,96500,7011,117961,118052,120685,118321,117906,290919,118322
297,20222,5560,118256,118257,117945,118995,119235,292795,118997
298,33237,2409,117961,117962,117904,119949,123170,290919,119951
299,79543,6108,117961,118386,118404,118321,117906,290919,118322
300,15720,16850,117961,118225,119092,122849,119094,119095,122850
301,18072,25872,118169,118170,119796,118172,129003,249618,118175
302,40328,6736,117961,117969,6725,122290,268766,6725,122292
303,14910,6482,117961,118052,118992,118321,118448,290919,118322
304,25287,18189,117961,118327,123757,118321,117906,290919,118322
305,31299,7212,117961,118300,124725,124194,145500,118363,124196
306,7678,744,117961,118300,120722,118321,117906,290919,118322
307,74909,8520,117961,118386,119954,118318,168365,118205,118319
308,4675,1930,122880,122974,122870,120097,281292,270488,120099
309,74646,770,117961,118300,119181,119346,302830,4673,119348
310,79092,7388,117961,118225,119924,118318,168365,118205,118319
311,75078,92887,118315,118463,118522,129229,147633,119788,129231
312,17308,14650,118219,118220,117920,117899,117899,19721,117900
313,31996,8430,117961,118225,118403,118321,117906,290919,118322
314,14858,27508,117929,117940,117941,118568,125259,19721,118570
315,5112,310793,120342,120343,119076,118834,124426,118424,118836
316,80538,5041,117961,118343,119598,119928,134544,118331,119929
317,17825,2305,117961,117962,119223,128230,302830,4673,128231
318,34950,34826,118555,118178,118320,117905,117906,290919,117908
319,4679,3838,117961,118225,119924,118321,117906,290919,118322
320,75078,3889,117961,118386,121668,117905,117906,290919,117908
321,1937,6216,117961,118327,118328,124886,306399,118643,124888
322,37557,19832,117961,118386,123757,118321,117906,290919,118322
323,20351,8106,117961,118327,120559,120560,304465,118643,120562
324,41441,1334,117961,117962,118910,179731,118368,117887,117973
325,15064,52687,117961,117962,117904,179731,131272,117887,117973
326,81355,56723,118315,118316,118317,133306,120689,118205,133308
327,4675,5899,117961,118327,120318,118777,296252,308574,118779
328,75834,42230,117961,118327,118744,117905,117906,290919,117908
329,27124,32242,117961,118327,118929,119849,282370,118638,119851
330,76626,2938,117961,118413,122007,117905,117906,290919,117908
331,16003,2225,117961,117962,118501,126110,126111,118504,126112
332,41334,28253,118315,118463,123089,118321,130219,290919,118322
333,5451,770,117961,118300,120722,118747,130134,118453,118749
334,20299,92071,117929,117930,117884,117879,117886,19721,117880
335,15673,2781,117961,118300,118783,118451,130134,118453,118454
336,86127,782,117961,118413,127522,118321,117906,290919,118322
337,78851,2109,117876,117877,120694,124886,205741,118643,124888
338,20349,1080,117961,118327,118378,120952,120953,118453,120954
339,34346,810,117961,118300,123719,118321,240983,290919,118322
340,73798,52925,117980,117981,117920,118568,156279,19721,118570
341,28294,8121,91261,118026,118746,117905,117906,290919,117908
342,312129,25607,117961,118343,118856,117905,117906,290919,117908
343,38725,27818,117916,117917,117912,118568,117886,19721,118570
344,33155,2014,117961,117962,117904,120773,127525,118960,120774
345,4675,25262,117961,118327,118320,122297,301475,118331,118899
346,80847,17225,117961,118300,118535,118784,118406,290919,118786
347,38800,3949,117961,117962,118352,118777,279443,308574,118779
348,45904,55934,118006,118007,117878,179731,121256,117887,117973
349,3853,1467,117961,118343,118833,118834,127160,118424,118836
350,18072,3266,117961,118225,120323,120591,120592,119095,120593
351,79092,7001,117961,118327,118933,121594,302830,4673,121596
352,4675,7639,117961,118300,118957,117905,172635,290919,117908
353,35788,82613,117961,118300,119984,118890,311441,118398,118892
354,31661,7032,117961,118052,118992,118259,133680,290919,118261
355,78175,1140,117961,117962,118352,117905,117906,290919,117908
356,79121,2270,117961,118413,118631,123737,127475,118960,123738
357,80903,2819,117961,118300,123472,118321,117906,290919,118322
358,78311,54672,117932,117933,117878,117899,121756,19721,117900
359,25569,214,117961,118343,6104,117905,117906,290919,117908
360,18913,27518,117929,117930,117920,179731,188537,117887,117973
361,13878,5604,117961,118343,119598,118636,235245,118638,118639
362,1020,7399,118212,118213,123201,117905,117906,290919,117908
363,80381,2270,117961,118413,277693,120773,118959,118960,120774
364,40462,14638,117961,118052,118992,118784,120474,290919,118786
365,34950,56565,117961,118327,122109,120172,230830,290919,120173
366,5893,6217,117961,118327,118328,118465,121927,118467,118468
367,42085,3979,117961,118343,120347,118368,128683,117887,118486
368,78602,5432,117961,118327,118391,118641,123881,118643,118644
369,23096,2610,117961,118327,121979,118321,117906,290919,118322
370,79422,41759,118315,118463,119214,117905,117906,290919,117908
371,40062,148913,118212,118213,118921,118890,305057,118398,118892
372,25241,70643,117961,118327,120299,137969,217580,118612,137970
373,25985,55643,118256,118257,117945,118274,118806,292795,118276
374,35188,52314,117961,118300,118301,118980,306795,118295,118982
375,42085,4438,117961,118386,121668,118777,279443,308574,118779
376,5906,6007,117961,118446,16232,120418,138419,249618,120419
377,18072,46661,118256,118257,117945,118995,118806,292795,118997
378,25364,51269,117961,118300,118360,118636,247760,118638,118639
379,80674,5178,117961,118343,118660,118826,158101,118424,118828
380,77199,50952,117961,118327,118929,118321,117906,290919,118322
381,41312,17010,117943,117944,117945,118274,231536,292795,118276
382,41234,8751,117932,117933,117878,117879,117879,19721,117880
383,4675,111936,117961,118300,118783,117905,240983,290919,117908
384,42972,4713,117961,118052,120398,122022,299505,119221,122024
385,25749,5557,118169,118170,118940,247659,232183,19721,247660
386,31983,5079,117961,118300,127284,120789,284092,118424,120791
387,42093,7122,117961,118225,118403,118259,117906,290919,118261
388,35644,4819,118290,118291,118292,118293,118294,118295,118296
389,79617,85475,117961,118300,120410,118784,117906,290919,118786
390,17249,148913,118212,118213,118921,118890,305057,118398,118892
391,79625,20447,117961,118327,120283,121527,133249,118398,121529
392,4675,14800,117961,117962,118352,179731,162809,117887,117973
393,33423,4600,117961,118446,122550,307024,311622,118331,118332
394,25993,5002,117961,118343,119598,120344,310997,118424,120346
395,6670,26320,117961,118327,118391,118321,117906,290919,118322
396,75834,3944,117961,118343,118514,117905,240983,290919,117908
397,25103,7076,117961,118225,119238,119093,121698,119095,119096
398,34577,852,117961,117962,122215,123737,118959,118960,123738
399,5502,49802,117961,118343,118514,118321,124844,290919,118322
400,25749,123313,118169,118170,118171,118172,118173,249618,118175
401,32270,2395,117961,118300,123055,118054,118054,117887,118055
402,6977,7023,117961,117962,119223,118259,118260,290919,118261
403,7543,6277,117961,118343,118437,117905,240983,290919,117908
404,23799,5047,117961,118300,127284,118826,236735,118424,118828
405,31825,4098,117961,118343,118292,120006,310997,118424,120008
406,34861,71208,117961,118386,123656,118321,129272,290919,118322
407,967,17733,117961,118300,119984,118396,269406,118398,118399
408,34613,3722,117961,118300,120059,121469,159141,118424,121471
409,17292,148913,118212,118213,118921,118890,305057,118398,118892
410,75245,20440,117890,117891,117878,117899,123862,19721,117900
411,20364,5027,117961,118343,119598,118834,133686,118424,118836
412,44812,8147,117961,118327,145424,118321,117906,290919,118322
413,33642,20495,118219,118220,117941,117879,117897,19721,117880
414,25988,121925,117961,118327,118933,118321,125206,290919,118322
415,45580,46254,117961,118327,126310,124886,306399,118643,124888
416,16251,5360,117961,118446,118447,118784,117906,290919,118786
417,42093,52140,118887,118888,124656,118980,236007,118295,118982
418,39939,25724,118290,118291,119136,120056,162453,118474,120058
419,1020,96562,117902,117903,118783,118028,118368,117887,118030
420,23921,820,117961,118300,123719,118777,279443,308574,118779
421,4675,5620,121005,151110,5606,118321,117906,290919,118322
422,37651,13386,118219,118220,118221,118568,268194,19721,118570
423,33642,56776,117916,117917,117920,118568,131694,19721,118570
424,37737,25514,117918,117919,118483,117879,121445,19721,117880
425,23964,61062,117961,118446,120368,119849,219966,118638,119851
426,16767,3526,117961,118225,120323,119093,152422,119095,119096
427,74156,7520,91261,118026,124725,117905,117906,290919,117908
428,81070,5496,91261,118026,118202,118321,117906,290919,118322
429,25326,3767,120864,120865,118360,118777,279443,308574,118779
430,80786,4272,117961,118343,120666,123045,123107,120518,123047
431,33147,6751,117961,117969,6725,125687,245631,6725,125689
432,107908,15395,117961,119256,148450,123670,212510,121916,123672
433,3826,1525,117961,118413,121639,118321,117906,290919,118322
434,80860,7369,117961,118386,118896,118321,117906,290919,118322
435,37951,2112,5110,117954,117895,117896,186208,117887,117898
436,4675,16724,118212,118213,120551,117905,240983,290919,117908
437,41457,25475,118717,118718,117895,117879,118250,19721,117880
438,32270,29575,117961,117969,120574,119976,148648,19793,119978
439,78085,11826,118090,118091,117920,123191,123191,19721,123192
440,19825,15412,117961,118343,127705,119849,170027,118638,119851
441,74310,7337,117961,118300,124725,123045,159051,120518,123047
442,1020,16569,117961,118327,120559,120560,304465,118643,120562
443,1020,3225,117961,118327,118929,118784,200462,290919,118786
444,74075,2225,117961,117962,118501,126110,126111,118504,126112
445,34076,2685,122880,122974,117945,117946,149467,292795,117948
446,34005,744,117961,118300,120722,117905,117906,290919,117908
447,14666,100147,117951,117952,117941,117879,117897,19721,117880
448,70202,7014,117961,118446,119961,118278,287351,290919,118279
449,29100,3770,117961,118343,118395,120647,311441,118398,120649
450,18278,2641,117961,118327,118391,118784,117906,290919,118786
451,19815,1311,117961,117962,118910,119346,4673,4673,119348
452,39373,50781,91261,118026,139759,118321,117906,290919,118322
453,6977,7344,117961,118225,120663,138019,153236,120518,138021
454,25993,65220,118602,118603,117941,117899,117899,19721,117900
455,41235,58999,118742,118743,117941,117885,117886,117887,117888
456,28586,17319,117961,117962,118791,121469,310997,118424,121471
457,75078,28163,118315,118316,120361,118784,162214,290919,118786
458,15716,15395,118555,118178,117945,123670,212510,121916,123672
459,23921,3509,118752,119070,119781,118563,194960,270488,118565
460,34109,185,119134,119135,118575,118172,307446,249618,118175
461,18072,32884,118573,118574,117945,117946,144259,292795,117948
462,42085,52105,118595,118596,81476,118422,170384,118424,118425
463,31228,1334,117961,117962,118910,118321,240983,290919,118322
464,74001,58404,118090,118091,117884,117885,117913,117887,117888
465,80566,770,117961,118300,119181,118451,130134,118453,118454
466,42508,50976,117961,118413,119968,117905,117906,290919,117908
467,42313,16244,117961,118052,120318,118784,117906,290919,118786
468,74431,6985,119134,119135,118437,118777,264725,308574,118779
469,31222,54684,117961,117962,118910,118777,279443,308574,118779
470,35068,4945,117961,118300,118360,118636,310589,118638,118639
471,75078,70777,118315,118463,118522,118321,117906,290919,118322
472,79092,1911,117943,117944,118042,118043,118043,270488,118046
473,78745,7460,117961,118300,118783,118784,147114,290919,118786
474,31661,17244,117961,118052,120398,120006,311622,118424,120008
475,25240,7807,117961,118327,118518,120097,124862,270488,120099
476,25753,55929,122532,122533,117945,280788,280788,292795,119082
